"Segment Name"
"Initial_State"
"Propagate"
"PRM1_Target.Maneuver"
"PRM1_Target.Propagate"
"ARB1"
"Propagate1"
"ARB2"
"Propagate2"
"ARB3"
"Propagate3"
"Final_ARB.Maneuver"
"Final_ARB.Propagate"
"Final_PRM.Maneuver"
"Final_PRM.Propagate"
"Propagate4"

"Time (UTCG)","X (km)","Y (km)","Z (km)","Vx (km/sec)","Vy (km/sec)","Vz (km/sec)"
7 Jan 2027 11:40:47.251,-56641.359818,-1429.754345,-843.151322,0.151398,-1.099037,-0.559375
7 Jan 2027 12:06:53.880,-56251.537100,-3146.125807,-1716.417986,0.346554,-1.091118,-0.554946
7 Jan 2027 12:31:44.648,-55595.132009,-4763.531143,-2538.744479,0.534558,-1.077810,-0.547786
7 Jan 2027 12:55:21.734,-54709.100305,-6278.629230,-3308.504286,0.716583,-1.059572,-0.538128
7 Jan 2027 13:17:48.087,-53625.632975,-7690.438496,-4025.262833,0.893677,-1.036717,-0.526129
7 Jan 2027 13:39:06.260,-52373.368571,-8998.734276,-4688.963803,1.066671,-1.009458,-0.511896
7 Jan 2027 13:59:18.498,-50978.141031,-10203.924996,-5299.867596,1.236218,-0.977931,-0.495496
7 Jan 2027 14:18:26.901,-49463.404008,-11307.063455,-5858.557933,1.402840,-0.942220,-0.476970
7 Jan 2027 14:36:33.554,-47850.453220,-12309.849209,-6365.943518,1.566961,-0.902360,-0.456337
7 Jan 2027 14:53:40.571,-46158.605832,-13214.560945,-6823.223964,1.728927,-0.858353,-0.433597
7 Jan 2027 15:09:50.139,-44405.290393,-14023.998358,-7231.860371,1.889027,-0.810166,-0.408731
7 Jan 2027 15:25:04.482,-42606.222167,-14741.363380,-7593.515203,2.047495,-0.757742,-0.381711
7 Jan 2027 15:39:25.891,-40775.438158,-15370.206620,-7910.025075,2.204525,-0.700995,-0.352492
7 Jan 2027 15:52:56.684,-38925.445026,-15914.323596,-8183.348215,2.360272,-0.639820,-0.321020
7 Jan 2027 16:05:39.189,-37067.326700,-16377.680759,-8415.527002,2.514856,-0.574087,-0.287229
7 Jan 2027 16:17:35.734,-35210.832133,-16764.353441,-8608.656553,2.668365,-0.503651,-0.251045
7 Jan 2027 16:28:48.624,-33364.494654,-17078.463310,-8764.853105,2.820858,-0.428344,-0.212383
7 Jan 2027 16:39:20.132,-31535.718753,-17324.131513,-8886.230332,2.972362,-0.347980,-0.171146
7 Jan 2027 16:49:12.485,-29730.880524,-17505.435358,-8974.877488,3.122876,-0.262357,-0.127233
7 Jan 2027 16:58:27.854,-27955.419245,-17626.373258,-9032.841741,3.272369,-0.171251,-0.080530
7 Jan 2027 17:07:08.346,-26213.924070,-17690.835946,-9062.113687,3.420779,-0.074424,-0.030914
7 Jan 2027 17:15:15.995,-24510.225671,-17702.583204,-9064.615686,3.568014,0.028383,0.021745
7 Jan 2027 17:22:52.765,-22847.446565,-17665.225721,-9042.192724,3.713947,0.137447,0.077589
7 Jan 2027 17:30:00.537,-21228.106818,-17582.210368,-8996.605128,3.858416,0.253065,0.136768
7 Jan 2027 17:36:41.114,-19654.166071,-17456.809310,-8929.523107,4.001220,0.375551,0.199442
7 Jan 2027 17:42:56.219,-18127.087980,-17292.111115,-8842.522348,4.142119,0.505243,0.265784
7 Jan 2027 17:48:47.494,-16647.900430,-17091.014797,-8737.081110,4.280826,0.642499,0.335975
7 Jan 2027 17:54:16.501,-15217.246600,-16856.225481,-8614.578114,4.417005,0.787700,0.410208
7 Jan 2027 17:59:24.722,-13835.439014,-16590.252794,-8476.291833,4.550262,0.941249,0.488688
7 Jan 2027 18:04:13.563,-12502.494476,-16295.407760,-8323.398978,4.680143,1.103575,0.571634
7 Jan 2027 18:08:44.357,-11218.170610,-15973.800196,-8156.973245,4.806124,1.275133,0.659276
7 Jan 2027 18:12:58.362,-9982.025051,-15627.343382,-7977.987806,4.927598,1.456404,0.751858
7 Jan 2027 18:16:56.767,-8793.436192,-15257.751168,-7787.313882,5.043867,1.647895,0.849638
7 Jan 2027 18:20:40.692,-7651.651247,-14866.543127,-7585.723453,5.154125,1.850140,0.952885
7 Jan 2027 18:24:11.188,-6555.835143,-14455.053620,-7373.893972,5.257443,2.063690,1.061881
7 Jan 2027 18:27:29.234,-5505.136154,-14024.452358,-7152.418973,5.352739,2.289104,1.176909
7 Jan 2027 18:30:35.728,-4498.786117,-13575.789889,-6921.831430,5.438761,2.526918,1.298238
7 Jan 2027 18:33:31.474,-3536.226128,-13110.074765,-6682.643325,5.514049,2.777589,1.426100
7 Jan 2027 18:36:17.155,-2617.311885,-12628.423878,-6435.422643,5.576919,3.041396,1.560635
7 Jan 2027 18:38:53.297,-1742.569276,-12132.301486,-6180.915666,5.625456,3.318266,1.701802
7 Jan 2027 18:41:20.241,-913.392913,-11623.812229,-5920.196667,5.657570,3.607550,1.849269
7 Jan 2027 18:43:38.171,-131.893616,-11105.851914,-5654.744468,5.671141,3.907862,2.002324
7 Jan 2027 18:45:47.237,599.845936,-10581.830078,-5386.299650,5.664217,4.217158,2.159925
7 Jan 2027 18:47:47.729,1280.838043,-10054.935504,-5116.488266,5.635164,4.533141,2.320897
7 Jan 2027 18:49:40.166,1911.745697,-9527.462527,-4846.477500,5.582644,4.853683,2.484154
7 Jan 2027 18:51:25.253,2494.620268,-9000.620233,-4576.878963,5.505486,5.177000,2.648784
7 Jan 2027 18:53:03.775,3032.230978,-8474.754780,-4307.863278,5.402569,5.501561,2.814005
7 Jan 2027 18:54:36.519,3527.537108,-7949.614631,-4039.296257,5.272734,5.825948,2.979091
7 Jan 2027 18:56:04.229,3983.352669,-7424.574201,-3770.853508,5.114764,6.148719,3.143303
7 Jan 2027 18:56:21.133,4069.519954,-7320.097203,-3717.444911,5.079882,6.212582,3.175788
7 Jan 2027 18:57:12.583,4328.050964,-6995.292764,-3551.422374,4.967407,6.414179,3.278327
7 Jan 2027 18:58:09.932,4608.896625,-6620.886916,-3360.078137,4.823445,6.643688,3.395033
7 Jan 2027 18:59:16.949,4925.769484,-6166.518191,-3127.912556,4.627911,6.916848,3.533888
7 Jan 2027 19:00:27.068,5242.103027,-5671.391740,-2874.975437,4.388667,7.205910,3.680761
7 Jan 2027 19:01:38.896,5547.341046,-5143.164338,-2605.189392,4.103422,7.501808,3.831022
7 Jan 2027 19:02:51.949,5835.156908,-4584.282876,-2319.814324,3.768460,7.797546,3.981091
7 Jan 2027 19:04:06.724,6102.599952,-3990.253040,-2016.566899,3.376389,8.088278,4.128475
7 Jan 2027 19:05:13.371,6314.781302,-3443.006186,-1737.270243,2.984246,8.330822,4.251274
7 Jan 2027 19:06:18.161,6494.753771,-2896.169394,-1458.249002,2.565259,8.545486,4.359778
7 Jan 2027 19:07:21.133,6642.582577,-2352.134644,-1180.724171,2.124574,8.728455,4.452048
7 Jan 2027 19:08:20.265,6755.305749,-1831.603920,-915.252966,1.684043,8.872398,4.524392
7 Jan 2027 19:09:17.035,6838.411254,-1324.681778,-656.783641,1.240823,8.981356,4.578863
7 Jan 2027 19:10:12.298,6894.715323,-826.110328,-402.633163,0.794888,9.057044,4.616334
7 Jan 2027 19:11:06.663,6925.790156,-332.404725,-151.024659,0.347266,9.100311,4.637239
7 Jan 2027 19:12:00.630,6932.450297,159.160010,99.429823,-0.100575,9.111633,4.641823
