rx (km),ry (km),rz (km),vx (km/sec),vy (km/sec),vz (km/sec),mass (kg),time (sec)
6170.8563824143885,-4552.612579486211,4.4014373501015226e-18,8.130905975082419,5.971667610792088,1.2004452566066851e-19,218.90050401474608,848100.5436879196
6174.482220736013,-4549.948817620283,4.4549771478150326e-18,8.12850842322366,5.973489089109523,1.2004498497325377e-19,218.89605867779989,848100.9896865549
6178.10698971641,-4547.284243818203,4.5085171461672426e-18,8.126110708317405,5.9753085909200205,1.200454253861423e-19,218.89161334085372,848101.43568519
6181.730689283183,-4544.618858961524,4.562057336729314e-18,8.12371283240112,5.977126116907206,1.200458469051119e-19,218.88716800390753,848101.8816838253
6185.353319365045,-4541.95266393121,4.615597711078338e-18,8.121314797509612,5.978941667757501,1.200462495500925e-19,218.88272266696137,848102.3276824604
6188.974879891606,-4539.285659607933,4.669138260800018e-18,8.11891660567421,5.980755244161089,1.2004663332612744e-19,218.87827733001518,848102.7736810957
6192.595370793199,-4536.6178468723165,4.7226789774812465e-18,8.116518258926165,5.982566846807607,1.2004699827092582e-19,218.87383199306902,848103.2196797307
6196.214792001311,-4533.949226604322,4.776219852740279e-18,8.114119759295587,5.984376476387518,1.2004734444515946e-19,218.86938665612283,848103.6656783661
6199.8331434480815,-4531.279799683956,4.829760878206838e-18,8.111721108804737,5.986184133600539,1.2004767183121927e-19,218.86494131917667,848104.1116770013
6203.450425066802,-4528.609566990559,4.883302045494429e-18,8.10932230947358,5.987989819148657,1.200479804314666e-19,218.8604959822305,848104.5576756364
6207.066636791418,-4525.938529403507,4.936843346236844e-18,8.106923363324702,5.98979353372985,1.2004827028585292e-19,218.8560506452843,848105.0036742717
6210.681778557024,-4523.2666878015225,4.990384772075853e-18,8.104524272376015,5.991595278047368,1.200485414058134e-19,218.85160530833815,848105.4496729068
6214.295850299359,-4520.594043063353,5.043926314660803e-18,8.102125038642098,5.993395052807929,1.200487938222604e-19,218.84715997139196,848105.8956715422
6217.908851955322,-4517.920596067085,5.097467965658562e-18,8.099725664135342,5.995192858720383,1.200490275633836e-19,218.8427146344458,848106.3416701772
6221.520783462447,-4515.246347690845,5.15100971674311e-18,8.097326150865918,5.996988696495652,1.200492426501988e-19,218.8382692974996,848106.7876688124
6225.131644759357,-4512.571298812167,5.204551559600174e-18,8.094926500841181,5.998782566847501,1.2004943909720298e-19,218.83382396055345,848107.2336674476
6228.7414357855705,-4509.895450308274,5.258093485915394e-18,8.092526716065926,6.000574470492234,1.2004961690130784e-19,218.82937862360728,848107.6796660828
6232.350156481312,-4507.21880305633,5.311635487379099e-18,8.09012679854293,6.0023644081479475,1.200497761077223e-19,218.8249332866611,848108.125664718
6235.957806787946,-4504.541357932826,5.365177555712323e-18,8.087726750272097,6.00415238053565,1.2004991676569858e-19,218.82048794971493,848108.5716633532
6239.564386647477,-4501.863115814283,5.4187196826426204e-18,8.085326573250954,6.005938388378587,1.2005003886839102e-19,218.81604261276874,848109.0176619884
6243.1698960030535,-4499.18407757655,5.472261859893091e-18,8.082926269474234,6.0077224324027965,1.2005014242614239e-19,218.81159727582258,848109.4636606236
6246.774334798462,-4496.5042440955,5.525804079201039e-18,8.080525840934582,6.009504513336166,1.2005022747118655e-19,218.8071519388764,848109.9096592588
6250.377702978631,-4493.823616246331,5.579346332314666e-18,8.078125289621754,6.011284631909491,1.2005029402489414e-19,218.80270660193023,848110.355657894
6253.980000489117,-4491.142194904263,5.632888610991496e-18,8.075724617523303,6.013062788855532,1.2005034210817627e-19,218.79826126498406,848110.8016565292
6257.581227276622,-4488.459980943842,5.686430906998474e-18,8.073323826623932,6.014838984909889,1.200503717422878e-19,218.79381592803787,848111.2476551645
6261.181383288474,-4485.776975239633,5.7399732121120406e-18,8.070922918906161,6.016613220810083,1.2005038294844384e-19,218.7893705910917,848111.6936537996
6264.780468473077,-4483.093178665609,5.7935155181180706e-18,8.06852189634973,6.018385497296366,1.2005037574787225e-19,218.78492525414552,848112.1396524349
6268.378482779721,-4480.408592095411,5.847057816811942e-18,8.066120760931847,6.020155815111368,1.2005035016179498e-19,218.78047991719936,848112.58565107
6271.97542615838,-4477.723216402618,5.900600099998452e-18,8.06371951462745,6.021924174999727,1.2005030621142916e-19,218.7760345802532,848113.0316497053
6275.5712985601685,-4475.037052460117,5.9541423594919095e-18,8.061318159408618,6.023690577708915,1.2005024391800716e-19,218.771589243307,848113.4776483405
6279.16609993682,-4472.350101140816,6.00768458711642e-18,8.05891669724524,6.02545502398826,1.200501633060721e-19,218.76714390636084,848113.9236469757
6282.759830241204,-4469.662363316936,6.061226774707251e-18,8.056515130104264,6.027217514589995,1.2005006439510255e-19,218.76269856941468,848114.3696456109
